TimeStep,MeanPredRecovery,MinPredRecovery,MaxPredRecovery,MedianPredRecovery,N
0,0.48864167534201836,0.4561759233474731,0.5121696591377258,0.49140438437461853,5122
1,0.4883615099583134,0.4489384889602661,0.5108165144920349,0.493575856089592,5122
2,0.4874794783069956,0.4454478621482849,0.5093115568161011,0.4941243678331375,5122
3,0.48658793704414777,0.4437303245067596,0.507687509059906,0.4941914826631546,5122
4,0.48578722002868396,0.4430168867111206,0.506846010684967,0.4939129650592804,5122
5,0.48512047782325035,0.442561388015747,0.507284939289093,0.4934665113687515,5122
6,0.48457694556949565,0.4422395229339599,0.507912814617157,0.49299895763397217,5122
7,0.4841222326965455,0.4418860375881195,0.5085538625717163,0.49231933057308197,5122
8,0.4837290121854073,0.4413051009178161,0.5091723203659058,0.491484984755516,5122
9,0.48338414826392195,0.4406992495059967,0.5097503662109375,0.49079008400440216,5122
10,0.48307858522703573,0.4400715231895447,0.5102803111076355,0.49000386893749237,5122
11,0.482807196132702,0.4392963945865631,0.5107598304748535,0.48938819766044617,5122
12,0.48256662124327876,0.4385309219360351,0.5113121271133423,0.4888901561498642,5122
13,0.48235064570976394,0.4377800524234772,0.5118074417114258,0.4883969575166702,5122
14,0.48215509606078005,0.4370475113391876,0.5122243762016296,0.48791831731796265,5122
15,0.4819777333052165,0.4363359808921814,0.5125789046287537,0.48757046461105347,5122
16,0.48181546986545265,0.4356471002101898,0.5128963589668274,0.48709769546985626,5122
17,0.4816656495469569,0.4349819123744964,0.5131799578666687,0.48671717941761017,5122
18,0.48152677225489393,0.4343408942222595,0.5134326815605164,0.4864248186349869,5122
19,0.4813977002469137,0.4337241351604461,0.5136571526527405,0.48624746501445765,5122
20,0.4812766276896349,0.4331312477588653,0.5138558745384216,0.4860939532518387,5122
21,0.48116322122994276,0.432561844587326,0.5140312314033508,0.4857790470123291,5122
22,0.48105700404813445,0.4320152997970581,0.5141851902008057,0.48559123277664185,5122
23,0.48095685706176783,0.4314908385276794,0.5143195986747742,0.48547469079494476,5122
